date,open,high,low,close,adjusted_close,volume
2012-04-03,141.64,141.88,140.43,141.26,111.044072956742,155717384
2012-04-04,140.22,140.34,139.34,139.86,109.943537050332,146781144
2012-04-05,139.38,140.2,139.26,139.79,109.888510255011,137161910
2012-04-09,138.03,139.84,137.84,138.22,108.65433784568,127440839
2012-04-10,137.95,138.34,135.76,135.9,106.830592629344,235129361
2012-04-11,137.29,137.54,136.75,137.0,107.695299412952,153297439
2012-04-12,137.13,138.9,137.03,138.79,109.102413179004,153603844
2012-04-13,138.47,138.82,137.01,137.14,107.805353003593,169047929
2012-04-16,137.84,138.04,136.58,137.05,107.734604266752,147707377
2012-04-17,137.84,139.36,137.7,139.08,109.330381331046,147627266
2012-04-18,138.46,139.08,138.38,138.61,108.960915705323,122743959
2012-04-19,138.63,139.15,137.07,137.72,108.261289307677,198512320
2012-04-20,138.33,138.83,137.87,137.95,108.442091635159,142867082
2012-04-23,136.54,136.91,135.94,136.79,107.530219026991,171710414
2012-04-24,136.91,137.66,136.8,137.31,107.938989506514,137239318
2012-04-25,138.65,139.25,138.53,139.19,109.416852009407,150143367
2012-04-26,138.89,140.32,138.81,140.16,110.179366173134,135453146
2012-04-27,140.58,140.79,139.8,140.39,110.360168500616,123902644
2012-04-30,140.11,140.21,139.49,139.87,109.951398021092,115006285
2012-05-01,139.79,141.66,139.63,140.74,110.635302477218,138747253
2012-05-02,139.92,140.46,139.46,140.32,110.305141705295,120982449
2012-05-03,140.34,140.45,138.99,139.25,109.464017833968,143518530
2012-05-04,138.52,139.3,136.92,137.0,107.695299412952,193496350
2012-05-07,136.51,137.56,136.46,137.1,107.773909120553,127664189
2012-05-08,136.28,136.77,134.92,136.55,107.341555728749,213125597
2012-05-09,135.1,136.61,134.49,135.74,106.704817097183,220525746
2012-05-10,136.68,136.85,135.71,136.02,106.924924278465,150085682
2012-05-11,135.17,136.87,135.11,135.61,106.602624477302,152988103
2012-05-14,134.31,135.61,133.91,134.11,105.423478863292,163196962
2012-05-15,134.02,134.81,133.13,133.34,104.818184114767,207288863
2012-05-16,133.94,134.55,132.8,132.83,104.417274606003,206973192
2012-05-17,132.86,133.02,130.79,130.86,102.868663366269,247684669
2012-05-18,131.37,131.6,129.55,129.74,101.988234641142,319503709
2012-05-21,130.16,132.02,129.95,131.97,103.741231120637,177733753
2012-05-22,132.31,133.23,131.34,132.2,103.922033448119,197272169
2012-05-23,131.25,132.46,129.99,132.27,103.977060243439,204667764
2012-05-24,132.63,132.84,131.42,132.53,104.181445483201,167017765
2012-05-25,132.48,132.85,131.78,132.1,103.843423740518,135393214
2012-05-29,133.16,133.93,131.17,133.7,105.101179062129,152437330
2012-05-30,132.56,133.69,131.49,131.76,103.576150734676,162154670
2012-05-31,131.71,132.45,130.34,131.47,103.348182582634,195826754
2012-06-01,129.41,131.5,128.16,128.16,100.746201261051,253063555
2012-06-04,128.39,128.74,127.14,128.1,100.69903543649,202317540
2012-06-05,127.85,129.26,127.78,129.07,101.461549600217,163687095
2012-06-06,129.97,132.03,129.93,131.97,103.741231120637,183846801
2012-06-07,133.47,133.53,131.78,132.05,103.804118886718,184597574
2012-06-08,131.71,133.13,131.29,133.1,104.629520816525,143634224
2012-06-11,134.17,134.25,131.28,131.41,103.301016758073,169457174
2012-06-12,131.79,133.01,131.16,132.92,104.488023342844,181773014
2012-06-13,132.53,133.36,131.62,132.07,103.819840828238,171953597
2012-06-14,132.34,134.0,131.98,133.47,104.920376734647,230470410
2012-06-15,133.38,134.26,133.1,134.14,105.988100949105,169104512
2012-06-18,133.58,134.73,133.28,134.4,106.19353487073,131154924
2012-06-19,135.08,136.25,134.37,135.7,107.220704478854,137213470
2012-06-20,135.71,136.1,134.27,135.48,107.046875775941,206299494
2012-06-21,135.64,135.78,132.33,132.44,104.644879153865,205129421
2012-06-22,133.13,133.71,132.62,133.46,105.450812231009,129848438
2012-06-25,132.05,132.1,130.85,131.32,103.759933029942,146248554
2012-06-26,131.7,132.38,130.93,131.98,104.281419138682,141386194
2012-06-27,132.42,133.43,131.97,133.17,105.22167439535,107982307
2012-06-28,132.29,132.99,131.28,132.79,104.921424817591,168941315
2012-06-29,135.2,136.27,134.85,136.1,107.536756665969,212056876
2012-07-02,136.48,136.65,135.52,136.51,107.860710157763,129049181
2012-07-03,136.48,137.51,136.34,137.41,108.571827578772,80450171
2012-07-05,136.9,137.8,136.29,136.79,108.081946688743,126024304
2012-07-06,135.47,135.77,134.85,135.49,107.054777080619,151120499
2012-07-09,135.38,135.57,134.7,135.32,106.920454901095,103703827
2012-07-10,136.01,136.23,133.68,134.14,105.988100949105,162748754
2012-07-11,134.21,134.6,133.38,134.16,106.00390355846,142460464
2012-07-12,133.38,134.23,132.6,133.51,105.490318754398,143428183
2012-07-13,133.86,135.89,133.84,135.75,107.260211002244,129613009
2012-07-16,135.44,135.83,134.9,135.43,107.007369252551,97413111
2012-07-17,135.97,136.64,134.55,136.36,107.742190587594,138576451
2012-07-18,136.04,137.64,135.96,137.37,108.54022236006,113247909
2012-07-19,137.65,138.18,137.21,137.73,108.824669328464,129742249
2012-07-20,136.95,137.16,136.32,136.47,107.829104939051,142813020
2012-07-23,134.47,136.38,133.84,135.09,106.738724893503,144901109
2012-07-24,135.19,135.25,133.03,133.93,105.822173550869,173030103
2012-07-25,134.21,134.56,133.25,133.96,105.845877464903,129041882
2012-07-26,135.89,136.46,135.26,136.17,107.592065798715,156221922
2012-07-27,136.89,139.07,136.14,138.68,109.575293272863,236689679
2012-07-30,138.52,139.34,138.27,138.68,109.575293272863,106715402
2012-07-31,138.49,138.87,137.71,137.71,108.808866719108,120507272
2012-08-01,138.7,138.73,137.4,137.59,108.714051062974,138192791
2012-08-02,136.55,137.57,135.58,136.64,107.963427118575,199418419
2012-08-03,138.56,139.64,136.68,139.35,110.104680686281,157710313
2012-08-06,139.72,140.17,139.56,139.62,110.318015912584,85244038
2012-08-07,140.18,140.92,140.03,140.32,110.871107240036,109434310
2012-08-08,139.85,140.65,139.81,140.49,111.00542941956,89648652
2012-08-09,140.29,140.89,140.15,140.61,111.100245075694,90094828
